model,train-data,test-data,accuracy,precision,recall,f1_score,throughput
RF,original,original,0.9494214876033058,0.9415314975480951,0.9429542878730639,0.942242355605889,1241.8582542031543
RF,original,rewritten,0.8490909090909091,0.8196902654867256,0.8398186626369475,0.8296323941033775,1353.1105203587215
RF,combined,original,0.7507438016528926,0.6516644474034621,0.9244427653947865,0.7644486098094345,795.7597927098411
RF,combined,rewritten,0.6426446280991736,0.558391524199374,0.8760861352474499,0.6820588235294117,809.537065976523
RF,rewritten,original,0.8862809917355372,0.9450249886415266,0.7857952398942198,0.858085808580858,1634.7478879345028
RF,rewritten,rewritten,0.8705785123966943,0.8601236476043277,0.8409520211560257,0.8504297994269341,1777.8825046066322
