model,train-data,test-data,accuracy,precision,recall,f1_score,throughput
CNN,original,original,0.9775206611570247,0.9775580068467098,0.9709104646769928,0.9742228961334344,836.196195172316
CNN,original,rewritten,0.851900826446281,0.9159144893111639,0.7283717415942577,0.8114478114478114,902.7683858260797
CNN,combined,original,0.9733884297520661,0.9683496608892238,0.9709104646769928,0.9696283720052821,507.5348614538274
CNN,combined,rewritten,0.9148760330578513,0.8930678466076696,0.9149981110691349,0.9038999813398022,523.5085347304378
CNN,rewritten,original,0.9383471074380165,0.9694467382328654,0.887041934265206,0.926415466561452,1071.3622819755476
CNN,rewritten,rewritten,0.9024793388429752,0.8870907038012796,0.8904420098224405,0.888763197586727,1095.4886727583032
